name,station,office,lat,long,url,note,state,metros
The Greenbelt,KATT,"EWX/153,89",-97.801,30.244,https://www.mountainproject.com/area/105905087/barton-creek-greenbelt,Porous limestone that can take a couple days to dry out.,Texas,"Austin, Texas"
Continental Ranch,KDRT,"EWX/14,74",-101.44,29.803,https://www.mountainproject.com/area/106169626/continental-ranch,"Hard limestone, so dries fairly fast. The ranch also seems to sit in a weather bubble with the rain passing around it.",Texas,"Austin, Texas"
Pace Bend Park,KRYW,"EWX/145,98",-98.019,30.455,https://www.mountainproject.com/area/107104361/pace-bend-park-dws,"Limestone. To check water levels for DWS, see: http://www.bloodyflapper.com/pacebend",Texas,"Austin, Texas"
Reimer's Ranch,KRYW,"EWX/141,93",-98.122,30.334,https://www.mountainproject.com/area/105837312/reimers-ranch,Porous limestone that can take a couple days to dry out.,Texas,"Austin, Texas"
Cochise Stronghold,KFHU,"TWC/125,31",-109.987,31.921,https://www.mountainproject.com/area/105738034/cochise-stronghold,"Granite, so the exposed areas dry fast.",Arizona,"Austin, Texas"
Enchanted Rock,KT82,"EWX/114,101",-98.821,30.503,https://www.mountainproject.com/area/105855196/enchanted-rock-state-natural-area,"Granite, so the exposed areas dry fast.",Texas,"Austin, Texas"
Horseshoe Canyon Ranch,KHRO,"LZK/44,127",-93.292,36.012,https://www.mountainproject.com/area/105903004/horseshoe-canyon-ranch,"Sandstone, so give it plenty of time to dry so it doesn't get damaged.",Arkansas,"Austin, Texas"
Last Chance Canyon,KGDP,"MAF/16,149",-104.754,32.234,https://www.mountainproject.com/area/105920274/last-chance-canyon,Limestone,New Mexico,"Austin, Texas"
Georgetown,KGTU,"EWX/157,106",-97.69,30.627,https://www.mountainproject.com/area/106715082/georgetown-hospital,Porous limestone that can take a couple days to dry out.,Texas,"Austin, Texas"
McKinney Falls,KAUS,"EWX/156,86",-97.722,30.181,https://www.mountainproject.com/area/106265889/mckinney-falls-state-park,Porous limestone that can take a couple days to dry out.,Texas,"Austin, Texas"
Icicle Creek,KEAT,"OTX/35,103",-120.711,47.543,https://www.mountainproject.com/area/105790237/icicle-creek,"Granite, so exposed areas dry fast.",Washington,"Seattle, Washington"
Tieton River Rock,AT095,"PDT/70,159",-120.958,46.684,https://www.mountainproject.com/area/105921237/tieton-river,Mostly andesite (similar to basalt).,Washington,"Seattle, Washington"
Vantage,KEAT,"OTX/54,74",-119.969,47.025,https://www.mountainproject.com/map/105792231/vantage-frenchman-coulee,The rocks are basalt.,Washington,"Seattle, Washington"
Mount Erie,KNUW,"SEW/123,109",-122.627,48.453,https://www.mountainproject.com/area/106413714/mount-erie,Highly textured and featured diorite.,Washington,"Seattle, Washington"
